product_name,description_1,description_2,download_link,Categories,Brands,URL
Koganei RAN Series Vane Type Rotary Actuator,This compact aluminum alloy body series is lightweight and provides easy mounting and installation. This series provides OEM customers flexibility for installation with 5 different mounting options available. Six different rotation degree specifications from 90 ° to 275 °. The Selection Guide provides a summary of the RAN Series Vane Type Rotary Actuators 5 different variations available. RAN Series Rotary Actuators offer: Double Acting Single Vane Type Four Mounting Options for Easy Installation 90° to 275° Rotation Options Utilizes 4mm Solid State Sensors Low Air Leak and Long Life Operation RoHS Compliance Specification  Order Code ,,https://official.en.koganei.co.jp/downloader/catalog/RAN/1,Rotary Actuator,,https://ntntech.vn/en/pneumatics/air-cylinder/rotary-actuator/koganei-ran-series-vane-type-rotary-actuator-2/
SMC CRB1/CDRB1 Rotary Actuators Vane Type,"・Compact auto switches are mountable. (D-M9□)・Stainless steel specification for main parts (Made to Order)・Two different port locations (side and axial) are available.・Mounting: Direct mounting, Foot mounting・With auto switch (Series CDRB1: CDRB1, CDVRB1) Type Series Vane type Size Rotating angleSingle Rotating angleDoubleStandard CRB1 SingleDouble 50，63，80，100 90°100°180°190°270°280° 90°100°With solenoid valve CVRB1 SingleDouble 50，63，80，100 90°100°180°190°270°280° 90°100° Order Code ",,https://ca01.smcworld.com/catalog/en/rotary_airchuck/CRB1-CDRB1-E/6-3-p0107-0137-crb1_en/data/6-3-p0107-0137-crb1_en.pdf,Rotary Actuator,,https://ntntech.vn/en/pneumatics/air-cylinder/rotary-actuator/smc-crb1-cdrb1-rotary-actuators/
Metal Work ISO 6432 cylinder,"ISO 6432 cylinders are metric, ISO standard, mini cylinders that are made of stainless steel and have low friction and longevity. Metal Work is an Italian company that produces pneumatic components for automation systems, including ISO 6432 cylinders. Metal Work has recently widened its range of ISO 6432 cylinders with different sizes and features. ISO 6432 cylinders have a maximum bore diameter of100 mmand a maximum stroke length of2000 mm. However, these dimensions may vary depending on the manufacturer and the type of cylinder. Metal Work’s ISO 6432 cylinders have bore sizes ranging from8 mmto25 mmand standard stroke lengths from10 mmto50 mm Specification  Order Code ",,,ISO Cylinders,,https://ntntech.vn/en/pneumatics/air-cylinder/iso-cylinders/metal-work-iso-6432-cylinder-2/
Festo DSBC series ISO standard,"ISO 15552 (ISO 6431, VDMA 24562) Self-adjusting pneumatic end-position cushioning saves time during commissioning and adapts optimally to load and speed changes Standard profile with two sensor slots Wide range of variants for customized applications Comprehensive range of mounting accessories for just about every type of installation Magnetic piston for position sensing Variants recommended for production facilities for the manufacture of lithium-ion batteries",,https://www.festo.com/media/pim/133/D15000100122133.PDF,ISO Cylinders,,https://ntntech.vn/en/pneumatics/air-cylinder/iso-cylinders/festo-dsbc-series-iso-standard-2/
SMC C96/C96SD ISO Standard Air Cylinder,・Compliant with ISO Standards (15552)・Lightweight: Max. 15% reduction・Cycle time shortened by adopting a new cushion method (Air cushion +Bumper cushion)・The bumper cushion reduces the metal noise that occurs when thepiston stops.,,https://content2.smcetech.com/pdf/CP96-C96-B_EU.pdf,ISO Cylinders,,https://ntntech.vn/en/pneumatics/air-cylinder/iso-cylinders/smc-c96-c96sd/
SMC RS2H Heavy Duty Stopper Cylinder,・Weight: Reduced by up to 22% (Compared with the previous RS1H series)・Cylinder tube: Shortened by up to 9 mm (RS2H63-30 stroke)・Capable of stopping pallets softly・Stopper cylinder with shock absorber・Lock Release specification (-XC102),,https://ca01.smcworld.com/catalog/en/actuator/RS2H-E/6-2-3-p0589-0604-rs2h_en/data/6-2-3-p0589-0604-rs2h_en.pdf,Stopper Cylinders,,https://ntntech.vn/en/pneumatics/air-cylinder/stopper-cylinders/smc-rs2h-heavy-duty-stopper-cylinder/
Festo Air solenoid valve VUVS,"Universal valve, sturdy and durable Low-cost with no performance limitations Can be used as individual valves or manifold valves VTUS Specification  Order Code  Model List VUVS-L25-B52-D-G14-F8-1B2 VUVS-LK20-M52-AD-G18-1C1-SVUVS-LK25-B52-D-G14-1B2-SVUVS-LK25-M32C-AD-G14-1B2-SVUVS-LK25-M52-AD-G14-1B2-SVUVS-LK30-B52-D-G38-1B2-SVUVS-LK30-M32C-AD-G38-1B2-SVUVS-LK30-M52-AD-G38-1B2-SVUVS-L20-P53E-MD-N18-F7VUVS-L20-M32C-MD-G18-F7-1C1VUVS-L20-M52-AD-G18-F7-1C1VUVS-L20-M52-MD-G18-F7-1C1VUVS-L20-P53C-MD-G18-F7-1C1VUVS-L20-B52-D-N18-F7VUVS-L20-M32C-AD-N18-F7VUVS-L20-M32C-MD-N18-F7VUVS-L20-M52-AD-N18-F7VUVS-L20-M52-MD-N18-F7VUVS-L20-P53C-MD-N18-F7VUVS-L25-M32C-AD-G14-F8-1C1VUVS-L25-M32C-MD-G14-F8-1C1VUVS-L25-M32C-AD-N14-F8VUVS-L25-M32C-MD-N14-F8VUVS-L25-P53E-MD-N14-F8VUVS-L25-P53C-MD-G14-F8-1C1VUVS-L25-P53C-MD-N14-F8VUVS-L25-B52-D-G14-F8-1C1VUVS-L25-M52-AD-G14-F8-1C1VUVS-L25-M52-MD-G14-F8-1C1VUVS-L25-B52-D-N14-F8VUVS-L25-M52-AD-N14-F8VUVS-L25-M52-MD-N14-F8VUVS-L30-P53E-MD-N38-F8VUVS-L30-P53C-MD-G38-F8-1C1VUVS-L30-P53C-MD-N38-F8VUVS-L30-B52-D-G38-F8-1C1VUVS-L30-M32C-AD-G38-F8-1C1VUVS-L30-M32C-MD-G38-F8-1C1VUVS-L30-M52-AD-G38-F8-1C1VUVS-L30-M52-MD-G38-F8-1C1VUVS-L30-B52-D-N38-F8VUVS-L30-M32C-AD-N38-F8VUVS-L30-M32C-MD-N38-F8VUVS-L30-M52-AD-N38-F8VUVS-L30-M52-MD-N38-F8VUVS-LK20-B52-D-G18-1C1+GL-S",,/wp-content/uploads/2023/09/Festo-VUVS-datasheet.pdf,Solenoid Valve,,https://ntntech.vn/en/pneumatics/air-valve/solenoid-valve/festo-air-solenoid-valve-vuvs/
Festo VUVG Solenoid valve for individual connection,Compact universal valve Connection technology via electrical connection box (E-box) High flow rate relative to its size In-line valves can be used as individual valves or manifold valves,,https://www.festo.com/media/pim/381/D15000100123381.PDF,Solenoid Valve,,https://ntntech.vn/en/pneumatics/air-valve/solenoid-valve/festo-vuvg-solenoid-valve/
Koganei 110-4E1/110-4E2 Solenoid Valve,"① Solenoid valve single coil , 2,3 port: 111-E1 110-E1 A111E1 A110E1 ② Solenoid valve single(E1), double(E2) coil, 5 Port 2 position: 110-4E1 110-4E2 110-4KE2 113-4E2 113-4KE2 110-4A 110-4A2 Specification  Order Code  Model List 110-4E1-83-PSL AC200 110-4E1-83-PSL AC200 ",,https://official.en.koganei.co.jp/downloader/catalog/110_ALL/1,Solenoid Valve,,https://ntntech.vn/en/pneumatics/air-valve/solenoid-valve/koganei-110-4e1-110-4e2-solenoid-valve/
SMC Solenoid valve SY3000/SY5000/SY7000 series,"・Due to the flow increase, the valve size can be reduced!Saves energy and space・Power consumption: 0.1 W (With power saving circuit)/0.35 W (Standard)・Plug-in sub-plate has been newly added!・Plug-in metal base (IP40)/Plug-in connector connecting base (IP67)・Manifold type no.: SS5Y3, SS5Y5, SS5Y7 Specification",,https://ca01.smcworld.com/catalog/New-products-en/mpv/es11-103-sy/data/es11-103-sy.pdf,Solenoid Valve,,https://ntntech.vn/en/pneumatics/air-valve/solenoid-valve/smc-sy3000-sy5000-sy7000-2/
Koganei Solenoid Valve 180-4E1/180-4E2 series,"Koganei Solenoid Valve 180-4E1, 180-4E2 Space saving design of double solenoid at one side of valve to provide independent and tandem operation for directional control of linear actuators. The Selection Guide provides a summary of the 2 different Air -Piloted Valves. The 180 Series variations include: Rc 1/8 and 1/8 NPT Pilot Port Options Inline, Subbase, Monoblock Manifold Unique Spool Design for Long Cycle Life Compact, Lightweight Design RoHS Compliance Operations5/2 Single5/2 Double Specification   Model List 180-4E1180-4E2180-4KE2183-4E2183-4KE2180-4A180-4A2 5-port, E1 ● E2, A ● A2 type, for A-, AJ-type manifold A180-4E1A180-4E2A180-4KE2A183-4E2A183-4KE2A180-4AA180-4A2",,https://official.en.koganei.co.jp/downloader/catalog/180_ALL/1,Solenoid Valve,,https://ntntech.vn/en/pneumatics/air-valve/solenoid-valve/koganei-solenoid-valve-180-4e1-180-4e2/
Koganei F10T0/F10T1/F10T2/F10T3/F10T4/F10T5 Solenoid Valve F series,"100+ million cycle life tested and rated directional control valve series that can switch direction of the cylinder ports and from double to single solenoid without any additional parts needed. The Selection Guide provides a summary of the 132 F Series – Indirect Acting Solenoid Valves. The F Series variations include: Direct Wiring, D-Sub, Flat Cable or Serial Communication Inline, Subbase, Mono Block and Split Type Manifold Switchable Output Ports Direct on Valve or Manifold Field Selectable Single or Double Solenoid Operation Available with Two 3-way Valves in One Body RoHS Compliance   Specification Operation Model List",,https://ntntech.com.vn/wp-content/uploads/2023/12/Koganei-F-series-solenoid-valve.pdf,Solenoid Valve,,https://ntntech.vn/en/pneumatics/air-valve/solenoid-valve/koganei-f10t-solenoive-valve/
Koganei 180-4A/180-4A2/A180-4A/A180-4A2 Air pilot valve,Koganei air pilot valve 180 series including: 180-4A 180-4A2 A180-4A A180-4A2 Specification ,,,Air pilot valve,,https://ntntech.vn/en/pneumatics/air-valve/air-pilot-valve/koganei-180-4a-180-4a2-a180-4a-a180-4a2-air-pilot-valve/
Koganei 110-4A/100-4A2/A110-4A/A110-4A2 Air pilot valve,Air pilot valves 110 Series Koganei including: 110-4A 110-4A2 A110-4A A110-4A2 Specification  Model List 110-4A 110-4A2 A110-4A A110-4A2,,,Air pilot valve,,https://ntntech.vn/en/pneumatics/air-valve/air-pilot-valve/koganei-110-4a-100-4a2-a110-4a-a110-4a2-air-pilot-valve/
"CKD 4KA/B・M4KA/B Air operated 3, 4, 5-port valves","[High reliability] Soft spool is used. [Long service life] Packing with excellent wear resistance adopted. [Responsivity] Responsivity upon initial operation is stabilized with the special packing. [High density integration] With free combinations of manifolds, it is possible to easily reduce or expand units. Specification  Order Code ",,,Air pilot valve,,https://ntntech.vn/en/pneumatics/air-valve/air-pilot-valve/ckd-4ka-b%e3%83%bbm4ka-b-air-operated-3-4-5-port-valves/
"CKD 4GA/BR M4GA/BR Series 3, 4, 5-port valves","[Low sliding, long service life]Superb main valve sliding mechanism realizes low sliding / long service life.Response time 12 ±2 ms (4G1 type)Durability count: 100 million times (single solenoid)Improved responsivity after shutdown. [Malfunction prevention]For both metal base and resin block, exhaust check valve is provided as standard.Prevents backflow of air at the time of exhaust, preventing cylinder malfunction. Specification  Order Code ",,,Air pilot valve,,https://ntntech.vn/en/pneumatics/air-valve/air-pilot-valve/ckd-4ga-br-m4ga-br/
Festo Manually operated valves,,,https://www.festo.com/media/pim/300/D15000100123300.PDF,Mechanical Valve,,https://ntntech.vn/en/pneumatics/air-valve/mechanical-valve/festo-manually-operated-valves-2/
Koganei 400HV Hand valves,,,https://official.en.koganei.co.jp/product/400HV_ALL,Mechanical Valve,,https://ntntech.vn/en/pneumatics/air-valve/mechanical-valve/koganei-400hv-hand-valves/
Koganei TAC valves, Specification ,https://official.en.koganei.co.jp/data/mst/catalog/51/TAC_TAC2_V_ALL_e_ver1_0-000002.jpg,https://official.en.koganei.co.jp/product/TAC_TAC2_V_ALL,Mechanical Valve,,https://ntntech.vn/en/pneumatics/air-valve/mechanical-valve/koganei-tac-valves-2/
CKD HMV / HSV Manual switching valve,4-port valve with a sliding valve method for the main valve. Suitable for operating cylinders with simple operation.  Specification  Order Code ,,https://www.ckd.co.jp/kiki/en/file/6866,Mechanical Valve,,https://ntntech.vn/en/pneumatics/air-valve/mechanical-valve/ckd-hmv-hsv-manual-switching-valve/
SMC VM/VZM/VFM Mechanical Valve,・A wide variety of valves are available for all types of air systems.・Small mounting space with a compact body Specification Specification  Order Code ,,https://ca01.smcworld.com/catalog/en/directional/VM-VZM-VFM-E/6-1-2-p1582-1656-vm_en/data/6-1-2-p1582-1656-vm_en.pdf,Mechanical Valve,,https://ntntech.vn/en/pneumatics/air-valve/mechanical-valve/smc-vm-vzm-vfm-mechanical-valve/
SMC VQ7-6/VQ7-8 5-Port Solenoid Valve/ISO Standard,"Compliant with ISO Standards Manifold type no.: VV71, VV72 Supports Interface regulators Interface conforms to ISO standard Size 1 (VQ7-6) and Size 2 (VQ7-8).  Manifolds can be configured with a wide range of interface options to meet a variety of application requirements. Size 1 (3 position) 0.48 kg ···24% less*Size 2 (3 position) 0.75 kg ···15% less* *Compared with previous series Installation space······13% reduction*Installation volume···· 10% reduction* *Compared with previous series",https://www.smcworld.com/newproducts/en/vq7/images/01.jpg,https://ca01.smcworld.com/catalog/en/directional/VQ-5PI-E/6-1-2-p1115-1152-vq7_en/data/6-1-2-p1115-1152-vq7_en.pdf,ISO Valves,,https://ntntech.vn/en/pneumatics/air-valve/iso-valves/smc-vq7-6-vq7-8-iso-valves/
SMC Vacuum Generator ZK2□A series,"The ZK2□A series from SMC is a high-efficiency, modular vacuum generator system designed for advanced automation and energy-saving applications. It integrates multiple features that improve vacuum performance, reduce air consumption, and support digital control. Energy-Saving DesignUtilizes an energy-saving ejector that cuts off compressed air when the desired vacuum level is reached, reducing air consumption by up to 93% compared to standard single-stage ejectors. Energy-Saving DesignUtilizes an energy-saving ejector that cuts off compressed air when the desired vacuum level is reached, reducing air consumption by up to 93% compared to standard single-stage ejectors. Higher Suction Flow RateImproved ejector design boosts suction flow up to 50% more than conventional models, enhancing response time and vacuum performance. Higher Suction Flow RateImproved ejector design boosts suction flow up to 50% more than conventional models, enhancing response time and vacuum performance. Low Noise OperationA high-performance silencer reduces operating noise to as low as 46 dB(A) (for 0.7 mm nozzle), while maintaining or improving suction performance. Low Noise OperationA high-performance silencer reduces operating noise to as low as 46 dB(A) (for 0.7 mm nozzle), while maintaining or improving suction performance. IO-Link CompatibilityEnables seamless integration with smart factory systems. IO-Link allows remote monitoring, diagnostics, and control through a single communication cable. IO-Link CompatibilityEnables seamless integration with smart factory systems. IO-Link allows remote monitoring, diagnostics, and control through a single communication cable. Vacuum Retention During Power LossEquipped with normally open (N.O) supply valves, which maintain vacuum even during power failures, preventing dropped workpieces in automated systems. Vacuum Retention During Power LossEquipped with normally open (N.O) supply valves, which maintain vacuum even during power failures, preventing dropped workpieces in automated systems. Modular MountingThe ZK2□A can be used as a standalone unit or in a manifold configuration, allowing for scalability in multi-pickup applications. Modular MountingThe ZK2□A can be used as a standalone unit or in a manifold configuration, allowing for scalability in multi-pickup applications. Specification Order Code  Model List",,/wp-content/uploads/2025/05/SMC-ZK2A-DATASHEET.pdf,Vacuum Ejector,,https://ntntech.vn/en/pneumatics/vacuum-equipment/vacuum-ejector/smc-vacuum-generator-zk2%e2%96%a1a-series/
Koganei MED Series – Micro Ejector,"Two-level Nozzle Construction Approximately Twice the Suction Flow Rate With the Same Nozzle Diameter Mount in any Direction, No Lubrication Specification  Order Code  Model List MED07-E1-02-E-PSL DC24VMED10-E1-02-E-PSL DC24VMED07-E2-02-E-PSL DC24VMED10-E2-02-E-PSL DC24V",,,Vacuum Ejector,,https://ntntech.vn/en/pneumatics/vacuum-equipment/vacuum-ejector/koganei-med-series-micro-ejector/
Vacuum Ejector ZH seires,"・Compact and lightweightOverall length: Max. 11% reduction (6.7 mm shorter) [Body ported type]Port height: Max. 25% reduction (9.1 mm shorter) [Body ported type]Weight: Max. 74% reduction (65.1 g lighter) [Body ported type]Volume: Max. 39% reduction (14.1 cm3 reduction) [Box type]・4 mounting typesDirect mounting, Standard bracket mounting, L-bracket mounting,DIN rail mounting・A silencer and standard bracket are available. Specification  Order Code ",,,Vacuum Ejector,,https://ntntech.vn/en/pneumatics/vacuum-equipment/vacuum-ejector/vacuum-ejector-zh-seires/
SMC TU/TIUB series Polyurethane Tubing,"Series TU tubing represents a new high quality standard in metric size polyurethane tubing. Series TUH, hard polyurethane tubing, is available in a standard or high pressure type and TUS is a soft polyurethane tubing. Available in 8 standard colors Available in 2 roll sizes Maximum operating pressure 0.8MPa at 20°C SMC’s series of polyurethane tubing is manufactured from Polyether resin, insuring the longest possible tube life due to its immunity to hydrolysis. Series TIUB inch size tubing is available in 8 “quick ship” colors, in standard stocked lengths of 66ft, 100ft, 500ft, 1000ft and 1640ft. There are 21 additional standard colors to suit special needs. Specification  Order Code  Model List ( OD = 4mm) TU0425B-20 TU0425W-20 TU0425R-20 TU0425BU-20 TU0425Y-20 TU0425G-20 TU0425C-20 (O.D=6mm) TU0604B-20 TU0604W-20 TU0604R-20 TU0604BU-20 TU0604Y-20 TU0604G-20 TU0604C-20",,https://ca01.smcworld.com/catalog/en/fitting_tube/TU-E/6-7-p0465-0466-tu-tibu_en/data/6-7-p0465-0466-tu-tibu_en.pdf,Tubing and Fitting,,https://ntntech.vn/en/pneumatics/tubing-and-fitting/smc-tu-tiub-series-polyurethane-tubing/
Nitta U2 series Polyurethane tube,"Most suitable for general air pressure piping usage. Well balanced between flexibility and pressure-resistant performance, and high workability. Ether polyurethane resin is used to prevent degradation by water or mold under high temperature and high humidity. Coil processing and welding can be performed on request. Specification  Order Code  Model List","https://www.nitta.co.jp/resources/images/products/moore/icon_table_air.png, https://www.nitta.co.jp/resources/images/products/moore/icon_table_water.png",https://s11877.pcdn.co/wp-content/uploads/2021/01/Pneumatics_Catalog.pdf,Tubing and Fitting,,https://ntntech.vn/en/pneumatics/tubing-and-fitting/nitta-u2-series-polyurethane-tube/
Pisco UB series Polyurethane Tube,"Featuring excellent flexibility, suitable for applications where small bending radius is needed. Color:10 colors, Size:14 sizes including Inch O.D. Specification Please refer to the data sheet Order Code  Model List UB0320-20 UB0425-20 UB0640-20 UB0850-20 UB1065-20 UB1280-20 ",,https://www.pisco.co.jp/media/pdf_en/h4-01.pdf,Tubing and Fitting,,https://ntntech.vn/en/pneumatics/tubing-and-fitting/pisco-ub-series/
DTRY-ELB Series,"Remove Static Electricity in Electronics Production Ion Transport by Tubing or Metal Piping Nozzle Types: Shower, Flat, Bar, L -shaped Optional Controller Available Specification  Order Code  Model List",,https://www.ntntech.com.vn/cm-ionizer-blow-type/1165-dtry-elb-ionizer.html,Ionizers,,https://ntntech.vn/en/pneumatics/ionizers/dtry-elb-series/
"Festo MS-LFR, MS series Filter regulators","The MS series offers the widest variety of filter regulator units, ideal for every application.The filter unit offers good particle separation at high flow rates. The pressure regulator has good control characteristics with low hysteresis. A return flow function and a secondary vent are integrated as standard in the MS series.The filter regulator can be installed as a module in service units according to the simple modular system of the MS series. Four sizes offer a wide flow rate spectrum.The housings are made of die-cast aluminum, the filter bowls are optionally made of metal or polycarbonate with bowl guard and can be combined with all condensate drain systems.The MS-LFR filter regulators are optionally configurable for use in hazardous areas of zones 1, 2, 21 and 22 as well as with UL approval.",,/wp-content/uploads/2023/09/Festo-MS-LFR-MS-series-datasheet.pdf,FRL Combination,,https://ntntech.vn/en/pneumatics/frl-combination/festo-ms-lfr-ms-series-filter-regulators-2/
SMC Booster Regulator VBA,"Can increase factory air by a maximum of 200%, Power supply not requiredIt is possible to get a maximum of double the existing pressure by connecting the air to a factory line.(VBA11A: maximum 4 times)Space-saving type that directly connects air tanks and booster regulators Specification  The IN air passes through the check valve to booster chambers A and B. Meanwhile, air is supplied to drive chamber B via the governor andthe switching valve. Then, the air pressure from drive chamber B and booster chamber A are applied to the piston, boosting the air in boosterchamber B. As the piston travels, the boosted air is pushed via the check valve to the OUT side. When the piston reaches to the end, the pistoncauses the switching valve to switch, so that drive chamber B is in the exhaust state and drive chamber A is in the supply state respectively.Then, the piston reverses its movement, this time, the pressures from booster chamber B and drive chamber A boosts the air in boosterchamber A and sends it to the OUT side. The process described above is repeated to continuously supply highly pressurized air from the IN tothe OUT side. The governor establishes the outlet pressure by knob operation and pressure adjustment in the drive chamber by feeding back theoutlet pressure.  Order Code  Model List VBA10A-02 VBA20A-03 VBA40A-04 VBA22A-03 VBA42A-04 VBA43A-04 VBA11A-02 G27-20-01 G36-10-01 KT-VBA22A-7 AN20-02 AN30-03 AN40-04 ",,https://ca01.smcworld.com/catalog/en/frl/VBA-E/7-8-4-p1271-1306-VBA_en/data/7-8-4-p1271-1306-VBA_en.pdf,FRL Combination,,https://ntntech.vn/en/pneumatics/frl-combination/smc-booster-regulator-vba/
"Koganei FR150, FR300, FR600 Filter regulators","●A 5μ m air filter and a small regulator are combined into a compact body.●Pressure gauge with preset marker is standard equipment.●Model for low pressure and model with built-in check mechanism alsoincorporated into the series.●Drain cock with fitting, and auto drain type drain cock, are optional. Specification   Order Code  Model List FR150-01 FR150-02 FR300-02 FR300-02-A FR300-03-A FR600-02-02 FR600-03-A FR600-04-A",,,FRL Combination,,https://ntntech.vn/en/pneumatics/frl-combination/koganei-fr150-fr300-fr600-filter-regulators-2/
Asahi Gauge 101-A / 101-B / 101-D series Pressure gauge,"Pressure gauge Asahi Gauge series 101 , Bourdon Tube. 101-A bottom thread 101-B bottom thread with gasket 101-D: back connection thread Application：General, steam (M), heatproof (H), vibration-proof (V), vibration-proof for steam (MV),heat- &vibration-proof (HV).Material：Copper alloyClasses of precision：1.0,1.6 Size mặt đồng hồ áp suất, type , ren kết nối và dãy áp suất đo như bảng dưới 0.05MPa～200MPaVacuum Model List ",,http://mail.asahigauge.co.jp/english/products/pdf/1010.pdf,Pressure Gauge,,https://ntntech.vn/en/pneumatics/other-pneumatic-components/pressure-gauge/asahi-gauge-101-a-101-b-101-d-series-pressure-gauge/
Nagano Keiki JM Pressure Gauge with Electric Contact,"This pressure gauge with electric contacts incorporating mechanical switch function. ON/OFF electrical switch action utilizes Buzzer, Bell, Pilot lamp warning system and motor, pump and control valve process control. Specification",,https://products.naganokeiki.co.jp/userfiles/files/products/JM__/E-JM____O_8P20220531.pdf,Pressure Gauge,,https://ntntech.vn/en/pneumatics/other-pneumatic-components/pressure-gauge/nagano-keiki-jm-pressure-gauge-with-electric-contact/
Wika Model 55 Bimetal thermometer,"Scale ranges from -70 … +600 °C [-94 … +1,112 °F] For extreme ambient temperatures Maintenance-friendly bayonet case Completely from stainless steel Individual stem length from 63 … 1,000 mm [2.5 … 39 in]  Specification The model 55 bimetal thermometer has been developed and is manufactured in accordance with the EN 13190 standard. This high-quality thermometer has been designed especially for the requirements of the process industry. Especially in the chemical and petrochemical, oil and gas, and power engineering industries, the temperature measuring instrument completely manufactured from stainless steel is used successfully. The model 55 satisfies the high requirements for resistance against aggressive media. As an option, the case can be made from 316L to fulfil the highest requirements. To allow optimum fitting to the process, individual insertion lengths and different process connections can be selected. When it comes to harsh climatic conditions at the place of use, the model 55 is the right choice, as it can be used at temperatures ranging from -40 °C [-40 °F] to +70 °C [+158 °F] (optionally also up to -50 °C [-58 °F] or -70 °C [-94 °F] in the POLARgauge®version).",,https://www.wika.com/media/Data-sheets/Temperature/Dial-thermometers/ds_tm5501_en_co.pdf,Pressure Gauge,,https://ntntech.vn/en/pneumatics/other-pneumatic-components/pressure-gauge/wika-model-55-bimetal-thermometer/
SMC G(A)36 Pressure Gauge,"SMC offers a variety of pressure gauges including general purpose, oil-free/external parts copper-free with limit indicator, clean series and a pressure gauge with a pressure switch. Pressure ranges vary from 0 to 1.5MPa, depending on the selected gauge. General purpose pressure gauge w/limit indicator Back side or vertical side thread Pressure range: 0 to 1.5MPa (0 to 225psi) Indication precision: ±3% F.S. (full span)",,https://ca01.smcworld.com/catalog/en/silencer_blow_gauge/G_-E/6-7-p0870-0891-g_en/data/6-7-p0870-0891-g_en.pdf,Pressure Gauge,,https://ntntech.vn/en/pneumatics/other-pneumatic-components/pressure-gauge/smc-ga36-pressure-gauge/
SMC Auto Switch D Seires,Order Code  ,,https://ca01.smcworld.com/catalog/en/actuator/D-AS1-E/6-2-1-p1576-1673-sw2mu-yuu_en/data/6-2-1-p1576-1673-sw2mu-yuu_en.pdf,Sensor Switch,,https://ntntech.vn/en/pneumatics/other-pneumatic-components/sensor-switch/d-series-smc-auto-switch-2/
Koganei KSHJ series Shock absorber,NTN Technology Company offer KSHJ series Shock absorber with Koganei maker Specification   Model List,,,Shock Absorber,,https://ntntech.vn/en/pneumatics/other-pneumatic-components/shock-absorber/koganei-kshj-series-shock-absorber/
FA series Fuji Latex Shock absorber,NTN Technology Company offer FA series Shock absorber with Maker Fuji Latex Model List,,https://fujilatex.actibookone.com/content/detail?param=eyJjb250ZW50TnVtIjo2ODAzNn0=&detailFlg=1&pNo=1,Shock Absorber,,https://ntntech.vn/en/pneumatics/other-pneumatic-components/shock-absorber/fa-series-fuji-latex-shock-absorber/
EXEN UP-A UP-S Plastic Ball Vibrator,"01Food plant: prevention of blockage in chute in raw meat conveyance line 02Prevention of blockage in pot noodle additive conveyance chute 03Improvement of buildup of workpiece ejected in screw production line. Improvement of buildup of cutting workpiece ejected. Improvement of resin moulding cutout workpiece ejected (1)Plastic ball vibrator has body made of plastic and is excellent in corrosion resistance. The vibration principle is easy, in which a steel ball rotates at high speed to generate powerful vibration. Because this ball vibrator with the simple principle and structure can be used easily, it is helpful for an area where minor vibration is required or for preventing clogging in hopper or chute. (During operation, it is necessary to supply lubricant with an oiler.)(2)UP-A series is a successor to the conventional UP series, for which the previous design is remodeled, and all the installation dimensions are the same. The vibration force is also almost the same, which maintains compatibility.(3)UP1 series include models UP110A and UP113A, UP2 series include models UP219A, UP3 series include models UP335A, which total 4 models (Successor to the conventional UP4 series is dropped from production.)(4)Model UP-S series is a new product. As compared to the same model as the model UP-A (Example: comparison between UP113A and UP113S), the amplitude is nearly double the value, which is a small powerful type. There are 2 models available: models UP113S and UP219S. A steel ball that rotates at high speed inside the housing with compressed air generates strong centrifugal vibration.Simply operating the pressure of compressed air allows frequency and centrifugal force to be easily changed.※ Use a lubricator (Oiler) to maintain its performance. Since the body is made of reinforced plastic, it has excellent corrosion resistance and is suitable for use in high humidity environments where rust is likely to occur. The smallest UP110A with the mounting width of 31 mm and the weight of 0.24 kg enables installation in narrow spaces where it is difficult to install a conventional vibrator. Ball can be replaced in all models.Replacement maintenance can be easily conducted by loosening bolts on the side cover, removing the side cover, and the replacing the ball.(Note: If the internal raceway ring is significantly worn, only replacing the ball will not repair the product) Although the ball vibrator is generally used to prevent minor clogging of powder in hopper or chute, it can be utilized as a motor for vibration table used for filling.Applications are expanded on various ideas, such as applying the vibration to eliminate buildup in parts supply line of production lines. All models of ball vibrator are provided with mounting holes for the fall prevention wire.It is highly recommended to mount the wire to ensure the safety in plant. (Wire is optional) Model UP-S is a powerful type with large amplitude.This series generates about double the amplitude compared to the UP-A series. As a result, the ability is used in an environment where large equipment installation spaces are insufficient while requiring powerful vibrations. CA1 type is a control panel for the manual pneumatic vibrator, which provides easy operation for the pneumatic vibrator and ball vibrator, and piston vibrator.Preparing only air tube and pressure air allows quick operation. Specification","https://www.exen.co.jp/english/industry/image/Top01_UP_eng.jpg, https://www.exen.co.jp/english/industry/image/Top02_UP_eng.jpg, https://www.exen.co.jp/english/industry/image/Top03_UP_eng.jpg, https://www.exen.co.jp/english/industry/image/Top04_UP_eng.jpg, https://www.exen.co.jp/english/industry/image/Top05_UP_eng.jpg, https://www.exen.co.jp/english/industry/image/Top06_UP_eng.jpg, https://www.exen.co.jp/english/industry/image/Top07_UP_eng.jpg, https://www.exen.co.jp/english/industry/image/Top08_UP_eng.jpg",,Pneumatic vibrator,,https://ntntech.vn/en/pneumatics/other-pneumatic-components/pneumatic-vibrator/exen-up-a-up-s-plastic-ball-vibrator/
